2021-06-29 11:06:453 INFO  RegistrationPage :122 - Enter confirmpassword [[ChromeDriver: chrome on WINDOWS (c2bcbc79e72a1dbe6e7e02885aaea65c)] -> id: ConfirmPassword]
2021-06-29 11:06:568 INFO  RegistrationPage :127 - click on Registration button Proxy element for: DefaultElementLocator 'By.xpath: //button[@id='register-button']'
2021-06-29 11:06:621 INFO  RegistrationPage :132 - verify error msg with first name empty [[ChromeDriver: chrome on WINDOWS (c2bcbc79e72a1dbe6e7e02885aaea65c)] -> xpath: //div[@class ='result']]
2021-06-29 11:06:416 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-29 11:06:465 INFO  RegistrationPage :58 - Click on Registration Link [[ChromeDriver: chrome on WINDOWS (a217fe2a17bb088fa9fc82312ab7b454)] -> xpath: //body[1]/div[6]/div[1]/div[1]/div[2]/div[1]/ul[1]/li[1]/a[1]]
2021-06-29 11:06:617 INFO  RegistrationPage :80 - Click on gender Male[[ChromeDriver: chrome on WINDOWS (a217fe2a17bb088fa9fc82312ab7b454)] -> xpath: //input[@id='gender-male']]
2021-06-29 11:06:785 INFO  RegistrationPage :86 - Enter firstname [[ChromeDriver: chrome on WINDOWS (a217fe2a17bb088fa9fc82312ab7b454)] -> id: FirstName]
2021-06-29 11:06:923 INFO  RegistrationPage :91 - Enter lastname [[ChromeDriver: chrome on WINDOWS (a217fe2a17bb088fa9fc82312ab7b454)] -> id: LastName]
2021-06-29 11:06:119 INFO  RegistrationPage :97 - 
2021-06-29 11:06:406 INFO  RegistrationPage :102 - Enter month of birth [[ChromeDriver: chrome on WINDOWS (a217fe2a17bb088fa9fc82312ab7b454)] -> xpath: //select[@name='DateOfBirthMonth']]
2021-06-29 11:06:623 INFO  RegistrationPage :107 - 
2021-06-29 11:06:780 INFO  RegistrationPage :112 - Enter email [[ChromeDriver: chrome on WINDOWS (a217fe2a17bb088fa9fc82312ab7b454)] -> id: Email]
2021-06-29 11:06:909 INFO  RegistrationPage :117 - Enter password [[ChromeDriver: chrome on WINDOWS (a217fe2a17bb088fa9fc82312ab7b454)] -> id: Password]
2021-06-29 11:06:79 INFO  RegistrationPage :122 - Enter confirmpassword [[ChromeDriver: chrome on WINDOWS (a217fe2a17bb088fa9fc82312ab7b454)] -> id: ConfirmPassword]
2021-06-29 11:06:25 INFO  RegistrationPage :127 - click on Registration button Proxy element for: DefaultElementLocator 'By.xpath: //button[@id='register-button']'
2021-06-29 11:06:56 INFO  RegistrationPage :132 - verify error msg with first name empty [[ChromeDriver: chrome on WINDOWS (a217fe2a17bb088fa9fc82312ab7b454)] -> xpath: //div[@class ='result']]
2021-06-29 11:06:422 INFO  RegistrationPage :139 - click on logout Proxy element for: DefaultElementLocator 'By.xpath: //a[@class='ico-logout']'
